link,ccBar,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/rn7M-20230304-183455_sam,Breakbar 1,519,482,1269,432,350,432,1433,1150,,
https://dps.report/rn7M-20230304-183455_sam,Breakbar 2,884,766,402,490,320,567,649,1051,,
https://dps.report/rn7M-20230304-183455_sam,Breakbar 3,586,1319,1149,800,666,666,2149,1183,,
https://dps.report/kiIb-20230304-183754_sam,Breakbar 1,484,398,365,432,365,484,566,1516,,
https://dps.report/kiIb-20230304-183754_sam,Breakbar 2,1150,550,550,550,483,799,517,1000,,
https://dps.report/kiIb-20230304-183754_sam,Breakbar 3,1150,799,602,683,633,602,1110,1356,,
https://dps.report/kiIb-20230304-183754_sam,Breakbar 4,1150,799,602,683,633,602,1110,1356,,
https://dps.report/k2zo-20230304-183954_sam,Breakbar 1,481,481,446,481,364,396,396,1846,,
https://dps.report/k2zo-20230304-183954_sam,Breakbar 2,566,966,400,166,882,649,315,1049,,
https://dps.report/k2zo-20230304-183954_sam,Breakbar 3,367,449,182,483,416,599,483,1132,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 1,517,400,366,517,315,566,366,1083,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 2,766,799,1166,883,966,1166,966,1516,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 3,565,949,314,465,381,632,1549,1100,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 4,586,468,519,752,317,586,875,362,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 5,780,626,473,626,626,503,829,1499,,
https://dps.report/VGkQ-20230304-184246_sam,Breakbar 6,428,596,827,562,512,760,359,1228,,
https://dps.report/AtMk-20230304-184422_sam,Breakbar 1,368,368,568,368,282,400,452,841,,
https://dps.report/AtMk-20230304-184422_sam,Breakbar 2,682,317,599,632,484,549,881,999,,
https://dps.report/AtMk-20230304-184422_sam,Breakbar 3,387,619,335,554,387,703,1019,870,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 1,522,522,351,351,351,435,351,869,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 2,551,551,432,1031,585,551,551,1097,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 3,599,520,231,466,466,719,599,1549,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 4,335,1508,335,937,1372,1699,476,1052,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 5,35,1026,584,756,519,1310,636,1263,,
https://dps.report/UZJk-20230304-184710_sam,Breakbar 6,309,561,994,-767,1146,1198,928,2009,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 1,433,400,266,266,266,552,433,800,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 2,531,648,766,648,882,482,531,998,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 3,233,483,166,549,198,349,483,882,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 4,474,602,520,551,474,685,1723,685,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 5,1249,764,798,650,882,1165,2733,1050,,
https://dps.report/eA83-20230304-185022_sam,Breakbar 6,683,347,550,1199,431,515,951,1483,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 1,-632,-549,-800,-312,-684,-632,-632,-231,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 2,-632,-549,-800,-312,-684,-632,-632,-231,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 3,-124,-238,-547,82,-156,-396,-513,-284,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 4,-124,-238,-547,82,-156,-396,-513,-284,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 5,-468,-234,-637,-637,-270,-670,197,-234,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 6,-468,-234,-637,-637,-270,-670,197,-234,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 7,-599,-449,-530,719,-530,-449,-566,-316,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 8,-599,-449,-530,3682,-530,-449,-566,-316,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 9,-83,-283,-200,1387,-333,-167,-200,0,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 10,-83,-283,-200,1387,-333,-167,-200,0,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 11,-366,-283,-717,-567,-249,-567,-567,152,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 12,-366,-283,-717,-567,-249,-567,-567,152,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 13,-201,-554,284,484,884,-82,-630,237,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 14,-718,-684,-718,-518,-118,-370,-630,-765,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 15,-718,-684,-718,-518,-881,-370,-630,-765,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 16,-197,-245,-529,-564,-362,-480,-279,-123,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 17,-762,292,-842,-890,1159,-480,-811,-123,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 18,1650,-700,-842,-890,167,-480,-811,-123,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 19,-727,-700,-842,-890,2100,3354,-811,-123,,
https://dps.report/rUEG-20230304-185423_sam,Breakbar 20,-727,-700,-842,-890,2100,3354,-811,-123,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 1,475,385,436,475,349,509,385,670,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 2,947,632,800,1178,231,348,697,1062,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 3,-36,449,398,514,363,363,197,799,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 4,443,487,766,930,795,516,846,961,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 5,942,1275,463,942,760,593,1026,1759,,
https://dps.report/ArUD-20230304-185805_sam,Breakbar 6,510,557,557,1145,589,510,510,1145,,
https://dps.report/R3Mv-20230304-185928_sam,Breakbar 1,399,349,468,1072,349,584,232,832,,
https://dps.report/R3Mv-20230304-185928_sam,Breakbar 2,916,916,399,916,200,799,599,1082,,
https://dps.report/R3Mv-20230304-185928_sam,Breakbar 3,-155,371,82,48,371,290,371,1082,,
https://dps.report/Q3aU-20230304-190144_sam,Breakbar 1,433,399,332,1117,332,433,599,750,,
https://dps.report/Q3aU-20230304-190144_sam,Breakbar 2,682,598,682,565,366,281,481,1001,,
https://dps.report/Q3aU-20230304-190144_sam,Breakbar 3,598,564,431,564,431,798,832,764,,
