log,phase,timer,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/rn7M-20230304-183455_sam,Phase 1,34.616,34375,34782,31549,32723,32593,33675,29897,30125,14819,15143
https://dps.report/kiIb-20230304-183754_sam,Phase 1,34.805,34381,33446,32307,29853,33224,32440,32031,28605,16453,15837
https://dps.report/k2zo-20230304-183954_sam,Phase 1,33.808,34983,33957,32668,34303,31612,33452,32147,30817,16281,16488
https://dps.report/VGkQ-20230304-184246_sam,Phase 1,33.186,34285,35607,31498,33379,36060,34817,31606,32412,15842,16392
https://dps.report/AtMk-20230304-184422_sam,Phase 1,34.013,35481,35009,34005,30711,35410,28768,27401,32690,16701,18016
https://dps.report/UZJk-20230304-184710_sam,Phase 1,34.523,34115,35562,33344,33228,33594,30386,30068,26977,16293,16664
https://dps.report/eA83-20230304-185022_sam,Phase 1,33.886,34180,35055,29825,32724,34845,33797,30444,33609,15342,15997
https://dps.report/rUEG-20230304-185423_sam,Phase 1,33.483,35484,35309,31713,31960,33865,35076,32785,31824,14907,16164
https://dps.report/ArUD-20230304-185805_sam,Phase 1,33.65,34486,33443,31384,32670,32129,34261,32519,31600,17311,17219
https://dps.report/Q3aU-20230304-190144_sam,Phase 1,33.807,35889,31902,34960,32376,36457,28662,32006,29916,16955,17940
https://dps.report/BshO-20230304-190615_sam,Phase 1,33.612,34379,34726,31214,34836,35746,33119,32168,29725,15624,16744
https://dps.report/CWk9-20230304-191304_sam,Phase 1,34.355,35105,35373,30628,30433,35166,33081,30745,30070,15731,15745
https://dps.report/Tq9m-20230304-191656_sam,Phase 1,33.719,35584,34761,33438,33616,35981,31225,31022,30220,15854,15290
https://dps.report/Lnam-20230304-192044_sam,Phase 1,33.604,35309,32690,30092,30632,36069,35849,31377,31747,16957,18579
https://dps.report/12Xu-20230304-192431_sam,Phase 1,34.131,31260,34565,32325,33497,34947,30136,32301,29918,15885,17861
https://dps.report/2jnL-20230304-192735_sam,Phase 1,35.207,33131,33526,31434,32057,36369,32376,30806,26492,14551,14329
https://dps.report/h6oe-20230304-192954_sam,Phase 1,34.555,34266,33523,33160,29347,32211,33621,32635,29876,15230,15970
https://dps.report/dlHw-20230304-193228_sam,Phase 1,34.171,36487,33712,28044,33580,32881,34655,32786,29706,14178,17594
https://dps.report/cXpE-20230304-193401_sam,Phase 1,34.366,31337,31424,31898,33450,35193,33354,32203,30576,16064,15963
https://dps.report/CDXl-20230304-193522_sam,Phase 1,35.392,30943,30791,30544,32663,33665,32779,29870,28135,16645,16985
https://dps.report/J7Gc-20230304-193906_sam,Phase 1,34.197,33935,31212,31313,34575,33300,34221,29882,31344,16470,17598
https://dps.report/n1Ge-20230304-194425_sam,Phase 1,33.256,34579,34842,30646,32781,36398,33515,32281,31686,17112,17656
https://dps.report/H3f2-20230304-194814_sam,Phase 1,33.956,36222,34965,29650,33927,36137,32891,29683,30104,15666,16994
https://dps.report/Xi0B-20230304-195242_sam,Phase 1,33.612,36337,35247,31738,31339,34621,33047,33402,28498,15651,18537
https://dps.report/j6Ux-20230304-195704_sam,Phase 1,34.001,33277,33590,30181,32910,33950,34551,31020,32738,15619,16651
https://dps.report/KR7D-20230304-200103_sam,Phase 1,34.32,34954,34726,32166,30678,34888,27632,30816,33242,14984,18093
