log,phase,timer,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/VGkQ-20230304-184246_sam,Phase 2,41.997,24437,28667,25542,23803,26959,26501,23035,22146,15005,16062
https://dps.report/eA83-20230304-185022_sam,Phase 2,41.691,28032,27803,23854,23857,27112,25875,21670,26874,14653,13754
https://dps.report/rUEG-20230304-185423_sam,Phase 2,41.882,26489,27081,25313,21199,27286,25776,23931,24312,15668,15431
https://dps.report/ArUD-20230304-185805_sam,Phase 2,41.042,27365,28419,26036,22795,26383,27417,25838,19743,17396,15238
https://dps.report/BshO-20230304-190615_sam,Phase 2,41.296,25266,28957,24417,22045,26070,25964,24269,27490,14601,16550
https://dps.report/CWk9-20230304-191304_sam,Phase 2,43.195,26367,26602,24284,18425,24049,24466,25931,23695,14457,16817
https://dps.report/Tq9m-20230304-191656_sam,Phase 2,41.41,25314,26886,26051,23903,25688,24706,24943,27611,15198,15030
https://dps.report/12Xu-20230304-192431_sam,Phase 2,43.959,25805,24757,23479,20767,25967,21393,24735,23636,13626,16816
https://dps.report/J7Gc-20230304-193906_sam,Phase 2,41.607,26456,26850,25777,22933,27783,24809,25391,25223,14020,13951
https://dps.report/n1Ge-20230304-194425_sam,Phase 2,44.276,27236,25967,23450,23565,26293,24638,20182,20247,14178,14657
https://dps.report/H3f2-20230304-194814_sam,Phase 2,43.764,25705,26008,22353,22332,26574,22659,24465,24538,14051,13071
https://dps.report/Xi0B-20230304-195242_sam,Phase 2,42.129,29074,28605,22185,21879,28668,24046,23014,21653,16523,15517
https://dps.report/j6Ux-20230304-195704_sam,Phase 2,43.831,24736,24406,24374,24303,26882,23166,24536,21295,13235,15163
https://dps.report/KR7D-20230304-200103_sam,Phase 2,44.751,24954,26656,23892,21622,26566,21585,20538,22793,14130,14737
