log,phase,timer,Balthazar.9024,Demolition Dieter.6952,edaquila.8014,EstiaStein.7531,KarlFranzOtto.7863,Nxxb.6820,Rosenrot.1293,SyNyxthete.2104,CineqPl.4126,oPeet.1702
https://dps.report/rn7M-20230304-183455_sam,Split 1,21.603,19983,20928,8787,18580,19368,16119,17000,19263,5677,6870
https://dps.report/kiIb-20230304-183754_sam,Split 1,19.239,19414,19915,14692,19724,20880,17949,21202,20436,8356,8137
https://dps.report/k2zo-20230304-183954_sam,Split 1,19.294,18664,22655,14335,20455,20570,18216,20882,19443,6521,8838
https://dps.report/VGkQ-20230304-184246_sam,Split 1,19.138,18040,21810,19833,18922,21898,18485,19133,15749,8610,9119
https://dps.report/UZJk-20230304-184710_sam,Split 1,20.155,18279,20241,18157,18914,21996,13394,18520,18902,6999,7826
https://dps.report/eA83-20230304-185022_sam,Split 1,20.713,19087,18468,18076,18590,20350,16544,16398,17800,7066,6544
https://dps.report/rUEG-20230304-185423_sam,Split 1,20.813,18068,21252,16858,16837,19209,17110,16839,17939,6648,7134
https://dps.report/ArUD-20230304-185805_sam,Split 1,20.131,20335,20665,16958,19203,21661,17026,19721,12756,6855,8206
https://dps.report/Q3aU-20230304-190144_sam,Split 1,19.659,21187,21033,19425,17133,21913,15515,16393,20122,6698,7788
https://dps.report/BshO-20230304-190615_sam,Split 1,19.828,19678,21995,19068,19284,14834,16706,19987,19622,5752,9413
https://dps.report/CWk9-20230304-191304_sam,Split 1,19.374,16959,22864,18325,20263,20273,19641,18502,17984,7895,7376
https://dps.report/Tq9m-20230304-191656_sam,Split 1,19.561,21044,21087,17121,17589,19172,17610,20110,19232,7113,8201
https://dps.report/Lnam-20230304-192044_sam,Split 1,19.019,18695,21339,15623,19462,21458,20375,19683,20092,7506,8438
https://dps.report/12Xu-20230304-192431_sam,Split 1,19.476,18567,20612,20602,22193,19765,14938,18321,17601,8185,8605
https://dps.report/h6oe-20230304-192954_sam,Split 1,19.092,20107,22522,21038,15059,20309,18365,19500,17503,7628,10074
https://dps.report/dlHw-20230304-193228_sam,Split 1,19.287,18675,21019,17523,16550,20793,19430,21765,19407,7725,8440
https://dps.report/J7Gc-20230304-193906_sam,Split 1,19.079,19137,21817,18226,18075,22094,20228,18012,17759,8083,8621
https://dps.report/n1Ge-20230304-194425_sam,Split 1,20.675,17438,19600,16800,17160,20295,19756,17310,14983,8036,7859
https://dps.report/H3f2-20230304-194814_sam,Split 1,19.555,19836,20298,17407,16135,20294,19132,19451,18255,7444,9537
https://dps.report/Xi0B-20230304-195242_sam,Split 1,19.439,17386,20801,20014,19204,19805,15979,21584,17541,7311,9104
https://dps.report/j6Ux-20230304-195704_sam,Split 1,19.449,16494,20785,20407,22333,19998,18970,19120,15621,7996,8149
https://dps.report/KR7D-20230304-200103_sam,Split 1,18.851,19434,19131,22005,16299,21952,17784,21213,20035,7941,8780
